Foreign Exchange Gains,-,,-,,166000,,-88000,,-378000,,352000,,494000,,176000,,59000,,21000,,14000,,109000,,-69000,,-109000,,-62000,,126000,,-319000,,597000,,-172000,,172000,
Other Non-Operating Income,1053000,,215000,,38000,,27000,,606000,,-5982000,,51000,,-119000,,405000,,-259000,,-261000,,-330000,,414000,,-266000,,-230000,,-264000,,686000,,-71000,,461000,,-106000,
Total Non-Operating Income,648000,,-197000,,-162000,,-121000,,468000,,-6050000,,-217000,,-557000,,345000,,-525000,,-596000,,-641000,,63000,,-576000,,-500000,,-509000,,275000,,-401000,,398000,,-139000,
Earnings Before Tax,3759000,,1873000,,2000000,,1058000,,3312000,,-4501000,,1722000,,623000,,1061000,,1319000,,1552000,,905000,,1289000,,1827000,,1571000,,-49000,,3993000,,1522000,,2768000,,1883000,
Taxation,474000,,159000,,419000,,124000,,444000,,-1287000,,257000,,-39000,,-241000,,188000,,227000,,-51000,,24000,,128000,,209000,,-1226000,,324000,,-151000,,269000,,289000,
Discontinued Operations,3000,,-10000,,2000,,-7000,,-159000,,18000,,-73000,,71000,,1031000,,0,,0,,-1000,,91000,,-1000,,-1000,,-1000,,1000,,-1000,,-1000,,-2000,
Extraordinary Items,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Accounting Changes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Net Income,3288000,,1704000,,1583000,,927000,,2710000,,-3196000,,1392000,,733000,,2333000,,1130000,,1325000,,955000,,1356000,,1698000,,1361000,,1175000,,3670000,,1672000,,2498000,,1591000,
Preference Dividends & Similar,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Net Income to Common,3288000,,1704000,,1583000,,927000,,2710000,,-3196000,,1392000,,733000,,2333000,,1130000,,1325000,,955000,,1356000,,1698000,,1361000,,1175000,,3670000,,1672000,,2498000,,1591000,
Average Shares Basic,914541.276,,912800,,909855.943,,907500,,905793.109,,904076.831,,901500,,899300,,898192.072,,897097.073,,895043.024,,893630.916,,892609.173,,891381.032,,889435.166,,887969.345,,887066.823,,886018.372,,886273.682,,889581.542,
EPS Net Basic,3.6,,1.87,,1.74,,1.02,,3.01,,-3.54,,1.53,,0.82,,2.6,,1.26,,1.48,,1.07,,1.52,,1.9,,1.53,,1.32,,4.14,,1.89,,2.82,,1.79,
EPS Continuing Basic,3.6,,1.88,,1.74,,1.03,,3.18,,-3.55,,1.61,,0.74,,1.45,,1.26,,1.48,,1.07,,1.42,,1.9,,1.53,,1.32,,4.13,,1.89,,2.82,,1.79,
Average Shares Diluted,927395.312,,923700,,919452.496,,917800,,944212.597,,904076.831,,910700,,909200,,906631.387,,905953.114,,904233.439,,901746.065,,898985.334,,897292.233,,894939.08,,895039.238,,893671.433,,892839.745,,890831.801,,893910.526,
EPS Net Diluted,3.56,,1.84,,1.72,,1.01,,2.99,,-3.54,,1.54,,0.81,,2.58,,1.25,,1.47,,1.06,,1.51,,1.89,,1.52,,1.31,,4.11,,1.87,,2.81,,1.78,
EPS Continuing Diluted,3.56,,1.86,,1.72,,1.02,,3.16,,-3.55,,1.62,,0.73,,1.44,,1.25,,1.47,,1.06,,1.41,,1.89,,1.52,,1.31,,4.11,,1.87,,2.81,,1.78,
Shares Outstanding,915013.646,,913118.581,,911006.24,,908045.413,,906091.977,,904126.362,,903180.353,,899435.324,,898068.599,,896800.35,,896320.072,,893522.828,,892653.424,,891057.116,,890578.748,,887891.957,,887110.454,,885637.454,,885875.16,,886642.873,
